Rk,Player,Age,Tm,Pos,GP,G,A,PTS,+/-,PIM,PS,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI,BLK,HIT,FOW,FOL,FO%
467,Joel Kiviranta\kivirjo01,25,DAL,F,49,1,5,6,-7,10,-0.3,1,0,0,0,5,0,0,49,2,461,9:24,20,85,0,3,0
468,John Klingberg\klingjo01,29,DAL,D,61,5,35,40,-15,30,5,4,1,0,2,19,16,0,115,4.3,1365,22:23,62,42,0,0,
469,Artemi Kniazev\kniazar01,21,SJS,D,1,0,0,0,-2,0,-0.1,0,0,0,0,0,0,0,2,0,12,11:59,0,1,0,0,
470,Slater Koekkoek\koekksl01,27,EDM,D,19,0,4,4,2,16,0.6,0,0,0,0,4,0,0,11,0,212,11:10,18,21,0,0,
471,Otto Koivula\koivuot01,23,NYI,LW,5,0,1,1,0,0,0,0,0,0,0,1,0,0,4,0,54,10:45,3,4,11,20,35.5
472,Keegan Kolesar\koleske01,24,VEG,RW,69,6,15,21,-6,66,1,4,1,1,0,15,0,0,81,7.4,889,12:53,42,210,73,109,40.1
473,Vladislav Kolyachonok\kolyavl01,20,ARI,D,23,1,2,3,3,6,1,1,0,0,0,2,0,0,17,5.9,347,15:06,22,33,0,0,
474,Leo Komarov\komarle01,35,NYI,C,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,,11,10:50,0,3,1,0,100
475,Travis Konecny\konectr01,24,PHI,C,66,12,31,43,-19,51,3,9,3,0,2,24,7,0,178,6.7,1154,17:29,29,75,9,14,39.1
476,Anze Kopitar\kopitan01,34,LAK,C,71,18,41,59,-7,14,5.2,12,6,0,3,26,14,1,189,9.5,1478,20:49,63,61,779,577,57.4
477,Kaedan Korczak\korczka01,21,VEG,D,1,0,0,0,1,0,0.1,0,0,0,0,0,0,0,0,,17,16:37,1,0,0,0,
478,Klim Kostin\kostikl01,22,STL,C,40,4,5,9,-3,23,0.5,4,0,0,1,5,0,0,31,12.9,361,9:01,9,90,2,2,50
479,Jesperi Kotkaniemi\kotkaje01,21,CAR,C,63,11,15,26,5,37,2.5,11,0,0,3,11,4,0,79,13.9,751,11:56,15,67,159,151,51.3
480,Johnathan Kovacevic\kovacjo01,24,WPG,D,4,0,0,0,1,2,0.1,0,0,0,0,0,0,0,7,0,43,10:49,3,0,0,0,
481,Peyton Krebs\krebspe01,21,TOT,C,45,7,10,17,-19,20,0.6,7,0,0,2,5,5,0,50,14,668,14:51,7,18,46,74,38.3
481,Peyton Krebs\krebspe01,21,BUF,C,36,7,10,17,-13,18,1.1,7,0,0,2,5,5,0,40,17.5,544,15:07,4,12,43,69,38.4
481,Peyton Krebs\krebspe01,21,VEG,C,9,0,0,0,-6,2,-0.4,0,0,0,0,0,0,0,10,0,124,13:44,3,6,3,5,37.5
482,Chris Kreider\kreidch01,30,NYR,LW,70,46,19,65,16,22,9.4,19,24,3,9,13,6,0,221,20.8,1313,18:46,36,129,62,58,51.7
483,Torey Krug\krugto01,30,STL,D,57,8,27,35,24,46,6.5,5,2,1,1,13,14,0,105,7.6,1189,20:52,59,44,0,0,
484,Dominik Kubalík\kubaldo01,26,CHI,LW,69,12,14,26,-18,12,1.6,9,3,0,0,8,6,0,144,8.3,1000,14:29,22,82,8,12,40
485,Nikita Kucherov\kucheni01,28,TBL,RW,33,12,31,43,-7,16,4,7,5,0,0,17,14,0,116,10.3,661,20:03,7,23,1,0,100
486,Karson Kuhlman\kuhlmka01,26,TOT,C,31,2,3,5,0,2,0.2,2,0,0,0,3,0,0,41,4.9,336,10:51,15,60,0,1,0
486,Karson Kuhlman\kuhlmka01,26,BOS,C,19,1,1,2,0,0,0,1,0,0,0,1,0,0,22,4.5,194,10:14,7,42,0,1,0
486,Karson Kuhlman\kuhlmka01,26,SEA,C,12,1,2,3,0,2,0.2,1,0,0,0,2,0,0,19,5.3,142,11:49,8,18,0,0,
487,Dean Kukan\kukande01,28,CBJ,D,37,3,7,10,-1,14,1.5,3,0,0,0,7,0,0,39,7.7,601,16:15,31,34,0,0,
488,Brett Kulak\kulakbr01,28,TOT,D,62,4,13,17,-3,35,2.7,4,0,0,0,12,0,1,71,5.6,1112,17:56,53,72,0,0,
488,Brett Kulak\kulakbr01,28,MTL,D,56,3,10,13,-10,33,1.7,3,0,0,0,9,0,1,63,4.8,1006,17:58,48,64,0,0,
488,Brett Kulak\kulakbr01,28,EDM,D,6,1,3,4,7,2,1.1,1,0,0,0,3,0,0,8,12.5,106,17:36,5,8,0,0,
489,Dmitry Kulikov\kulikdm01,31,MIN,D,66,5,16,21,15,33,3.7,5,0,0,1,16,0,0,53,9.4,1173,17:46,80,79,0,0,
490,Luke Kunin\kuninlu01,24,NSH,C,68,12,8,20,-6,61,1.2,12,0,0,0,6,2,0,109,11,976,14:21,47,202,33,50,39.8
491,Janne Kuokkanen\kuokkja01,23,NJD,C,45,6,8,14,-10,8,0.6,4,1,1,1,8,0,0,51,11.8,591,13:08,16,25,2,9,18.2
492,Rasmus Kupari\kuparra01,21,LAK,C,48,4,7,11,-2,16,0.6,3,1,0,1,5,2,0,46,8.7,576,12:00,13,52,116,153,43.1
493,Sean Kuraly\kuralse01,29,CBJ,C,69,11,14,25,2,55,1.6,11,0,0,0,13,1,0,108,10.2,1081,15:40,45,207,557,576,49.2
494,Philipp Kurashev\kurasph01,22,CHI,C,58,5,12,17,-12,12,0.6,3,2,0,1,9,3,0,72,6.9,737,12:43,23,29,50,68,42.4
495,Evgeny Kuznetsov\kuzneev01,29,WSH,C,66,22,44,66,6,30,6.8,12,8,2,4,27,15,2,174,12.6,1365,20:41,22,32,430,556,43.6
496,Oliver Kylington\kylinol01,24,CGY,D,64,8,19,27,26,12,6.2,7,1,0,2,17,2,0,124,6.5,1163,18:11,68,34,0,0,
497,Jordan Kyrou\kyroujo01,23,STL,C,61,22,40,62,8,18,6.5,18,4,0,3,28,11,1,149,14.8,1017,16:40,20,4,6,9,40
498,Kevin Labanc\labanke01,26,SJS,RW,21,3,3,6,-4,6,0.4,1,2,0,1,1,2,0,36,8.3,279,13:17,9,28,0,1,0
499,Andrew Ladd\laddan01,36,ARI,LW,43,6,3,9,-11,43,0,4,2,0,0,2,1,0,48,12.5,600,13:57,28,63,5,2,71.4
500,Paul Ladue\laduepa01,29,NYI,D,1,0,0,0,-2,0,-0.1,0,0,0,0,0,0,0,1,0,13,12:47,1,2,0,0,
501,Sam Lafferty\laffesa01,26,TOT,C,44,5,4,9,-10,22,0.1,5,0,0,1,4,0,0,66,7.6,581,13:12,21,113,76,123,38.2
501,Sam Lafferty\laffesa01,26,CHI,C,34,5,2,7,-10,10,0.1,5,0,0,1,2,0,0,57,8.8,494,14:31,19,79,63,99,38.9
501,Sam Lafferty\laffesa01,26,PIT,C,10,0,2,2,0,12,0.1,0,0,0,0,2,0,0,9,0,87,8:43,2,34,13,24,35.1
502,Alexis Lafreniere\lafreal01,20,NYR,LW,68,15,10,25,-2,37,2.4,15,0,0,4,9,1,0,89,16.9,951,13:59,24,98,11,30,26.8
503,William Lagesson\lageswi01,25,TOT,D,31,0,4,4,1,13,0.7,0,0,0,0,4,0,0,32,0,384,12:23,18,40,0,0,
503,William Lagesson\lageswi01,25,EDM,D,30,0,4,4,1,13,0.6,0,0,0,0,4,0,0,32,0,370,12:20,16,39,0,0,
503,William Lagesson\lageswi01,25,MTL,D,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,14,14:08,2,1,0,0,
